,lookback_window,minimum_occurrence,minimum_length,alpha,size,strategy,win_rate,sharpe,mdd
61,20,10,3,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
62,20,10,3,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
63,20,10,3,0.2,binary,Strategy,0.46798029556650245,-0.41186615255140396,0.9901835850675775
64,20,10,3,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
65,20,10,3,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
66,20,10,3,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
67,20,10,3,0.2,continuous,Strategy,0.46798029556650245,-0.4894720507463968,0.7078921770008142
68,20,10,3,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
69,20,10,3,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
70,20,10,3,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
71,20,10,3,0.2,trinary,Strategy,0.12561576354679804,-0.16060077428138306,0.8195363880003246
72,20,10,5,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
73,20,10,5,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
74,20,10,5,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
75,20,10,5,0.05,binary,Strategy,0.5172413793103449,-0.4912432845432954,0.9898440716237881
76,20,10,5,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
77,20,10,5,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
78,20,10,5,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
79,20,10,5,0.05,continuous,Strategy,0.4975369458128079,-0.6298730562341248,0.6773501633457533
80,20,10,5,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
81,20,10,5,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
82,20,10,5,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
83,20,10,5,0.05,trinary,Strategy,0.16009852216748768,-0.1308809433644349,0.9445053115700933
84,20,10,5,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
85,20,10,5,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
86,20,10,5,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
87,20,10,5,0.1,binary,Strategy,0.5073891625615764,-0.6175200531895562,0.9967507151171447
88,20,10,5,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
